target,tested_url,scheme,real_host,fake_host,baseline_status,invalid_status,baseline_final_url,invalid_final_url,baseline_hash,invalid_hash,baseline_body_length,invalid_body_length,content_same_hash,content_similarity,fake_host_reflected_in_headers,fake_host_reflected_in_body,fake_host_reflected_in_location,fake_host_reflected_in_cookie,fake_host_reflection_only_server_footer,classification,risk_level,interpretation,recommendation,baseline_error,invalid_error,tested_at
kv.ee,https://kv.ee/,https,kv.ee,attacker.com,301,403,https://kv.ee/,https://kv.ee/,c8d157bc424ec6f431a6c10907f55fb18c307267bbe8f4ce31bc0bf1ffc3c008,ce4155dd0d45c9b7dc2f58007b66f1f30adec6221abc1f9ca435ae3131bcb63f,162,151,False,0.8013,False,False,False,False,False,Safe / strict Host validation,Low,The invalid Host header was rejected with HTTP 403. This indicates strict Host header validation or proxy-level filtering.,No immediate issue observed. Continue using an explicit allowlist of permitted hostnames.,,,2026-05-26T19:47:26.235990+00:00
kv.ee,http://kv.ee/,http,kv.ee,attacker.com,301,403,http://kv.ee/,http://kv.ee/,c8d157bc424ec6f431a6c10907f55fb18c307267bbe8f4ce31bc0bf1ffc3c008,5519073554868a9fd190f5bb61f9fe3e7be8a168769d5e085772d4f4971176e7,162,1194,False,0.0316,False,False,False,False,False,Safe / strict Host validation,Low,The invalid Host header was rejected with HTTP 403. This indicates strict Host header validation or proxy-level filtering.,No immediate issue observed. Continue using an explicit allowlist of permitted hostnames.,,,2026-05-26T19:47:26.604106+00:00
cert.ee,https://cert.ee/,https,cert.ee,attacker.com,301,403,https://cert.ee/,https://cert.ee/,100bde66d5c5ffc0f9554ee0e7bf4159b1c228488a4b959e11eaca8dcc20c828,ce4155dd0d45c9b7dc2f58007b66f1f30adec6221abc1f9ca435ae3131bcb63f,676,151,False,0.3414,False,False,False,False,False,Safe / strict Host validation,Low,The invalid Host header was rejected with HTTP 403. This indicates strict Host header validation or proxy-level filtering.,No immediate issue observed. Continue using an explicit allowlist of permitted hostnames.,,,2026-05-26T19:47:26.240853+00:00
cert.ee,http://cert.ee/,http,cert.ee,attacker.com,301,403,http://cert.ee/,http://cert.ee/,d8d85b840c34bafcdd8a01ab4315ecc97b353a4941dfc446824f84521d6d2deb,7b08f1a9a647d146cc7ab3796448bd34f90297d47b63f176aca4e285f69fde80,665,35154,False,0.0137,False,False,False,False,False,Safe / strict Host validation,Low,The invalid Host header was rejected with HTTP 403. This indicates strict Host header validation or proxy-level filtering.,No immediate issue observed. Continue using an explicit allowlist of permitted hostnames.,,,2026-05-26T19:47:26.610377+00:00
icds.ee,https://icds.ee/,https,icds.ee,attacker.com,302,403,https://icds.ee/,https://icds.ee/,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,ce4155dd0d45c9b7dc2f58007b66f1f30adec6221abc1f9ca435ae3131bcb63f,0,151,False,0.0,False,False,False,False,False,Safe / strict Host validation,Low,The invalid Host header was rejected with HTTP 403. This indicates strict Host header validation or proxy-level filtering.,No immediate issue observed. Continue using an explicit allowlist of permitted hostnames.,,,2026-05-26T19:47:27.238838+00:00
icds.ee,http://icds.ee/,http,icds.ee,attacker.com,301,403,http://icds.ee/,http://icds.ee/,d8d85b840c34bafcdd8a01ab4315ecc97b353a4941dfc446824f84521d6d2deb,5519073554868a9fd190f5bb61f9fe3e7be8a168769d5e085772d4f4971176e7,665,1194,False,0.0231,False,False,False,False,False,Safe / strict Host validation,Low,The invalid Host header was rejected with HTTP 403. This indicates strict Host header validation or proxy-level filtering.,No immediate issue observed. Continue using an explicit allowlist of permitted hostnames.,,,2026-05-26T19:47:27.598131+00:00
arvutitark.ee,https://arvutitark.ee/,https,arvutitark.ee,attacker.com,200,403,https://arvutitark.ee/,https://arvutitark.ee/,b043fa6ca1a219615b4b1cf01c44013208af5e4d0f1cbd992695c364b80b36a5,ce4155dd0d45c9b7dc2f58007b66f1f30adec6221abc1f9ca435ae3131bcb63f,247318,151,False,0.0383,False,False,False,False,False,Safe / strict Host validation,Low,The invalid Host header was rejected with HTTP 403. This indicates strict Host header validation or proxy-level filtering.,No immediate issue observed. Continue using an explicit allowlist of permitted hostnames.,,,2026-05-26T19:47:27.685080+00:00
arvutitark.ee,http://arvutitark.ee/,http,arvutitark.ee,attacker.com,301,403,http://arvutitark.ee/,http://arvutitark.ee/,0b9787ae264325cf5c66a0ac5877ba560269cbb198833a7712a359e284ee8d51,5519073554868a9fd190f5bb61f9fe3e7be8a168769d5e085772d4f4971176e7,167,1194,False,0.0314,False,False,False,False,False,Safe / strict Host validation,Low,The invalid Host header was rejected with HTTP 403. This indicates strict Host header validation or proxy-level filtering.,No immediate issue observed. Continue using an explicit allowlist of permitted hostnames.,,,2026-05-26T19:47:28.035511+00:00
hm.ee,https://hm.ee/,https,hm.ee,attacker.com,200,403,https://hm.ee/,https://hm.ee/,1005559dda2245058f539cec124276ff249b1bd1029039164ab28d0f83a9fb5e,ce4155dd0d45c9b7dc2f58007b66f1f30adec6221abc1f9ca435ae3131bcb63f,16174,151,False,0.031,False,False,False,False,False,Safe / strict Host validation,Low,The invalid Host header was rejected with HTTP 403. This indicates strict Host header validation or proxy-level filtering.,No immediate issue observed. Continue using an explicit allowlist of permitted hostnames.,,,2026-05-26T19:47:28.189457+00:00
hm.ee,http://hm.ee/,http,hm.ee,attacker.com,301,403,http://hm.ee/,http://hm.ee/,d22f18ca3f30a4f4a2375dc1eeda483c27acfc4f736fde493c6a45d12a33b775,2f36c920fdecc54f432ab013d51b21ef7f3e8a65bbbf4fc3f5b047246e317cd3,460,33050,False,0.0117,False,False,False,False,False,Safe / strict Host validation,Low,The invalid Host header was rejected with HTTP 403. This indicates strict Host header validation or proxy-level filtering.,No immediate issue observed. Continue using an explicit allowlist of permitted hostnames.,,,2026-05-26T19:47:28.535070+00:00
